image_id,image_category,neckline_left,neckline_right,center_front,shoulder_left,shoulder_right,armpit_left,armpit_right,waistline_left,waistline_right,cuff_left_in,cuff_left_out,cuff_right_in,cuff_right_out,top_hem_left,top_hem_right,waistband_left,waistband_right,hemline_left,hemline_right,crotch,bottom_left_in,bottom_left_out,bottom_right_in,bottom_right_out,category
train1/blouse/ae4799966ee606ab23a4f01785f5f2ca.jpg,blouse,205_92_1,295_85_1,247_128_1,146_122_1,356_121_1,136_227_0,371_230_0,-1_-1_-1,-1_-1_-1,147_399_1,102_399_1,378_369_1,419_366_1,184_411_1,330_396_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/c803eff622dd082f894c784ea4d7292c.jpg,blouse,262_143_1,301_146_1,280_145_1,214_154_1,343_177_1,211_215_1,334_242_1,-1_-1_-1,-1_-1_-1,147_287_1,130_274_1,384_284_1,398_304_1,183_337_1,319_384_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/400e0ae4806982740c20a8a2412bdaaa.jpg,blouse,226_72_0,290_64_1,261_71_1,157_125_1,354_122_1,126_273_1,374_288_1,-1_-1_-1,-1_-1_-1,133_442_0,97_481_1,377_472_0,429_482_1,165_400_1,348_426_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/0a579a4877498884b216149a11e39d3a.jpg,blouse,179_88_1,286_79_1,240_188_1,122_122_1,346_104_1,142_256_1,352_230_1,-1_-1_-1,-1_-1_-1,142_480_1,98_480_1,391_450_1,424_433_1,173_491_1,361_467_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/8cf4b1e2a43dc95917d7c96afdf6f20a.jpg,blouse,259_20_1,323_38_1,272_103_1,210_26_1,364_81_1,131_93_1,376_177_1,-1_-1_-1,-1_-1_-1,122_80_1,122_33_1,385_192_1,427_144_1,42_308_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/4275068cdc5c24ac89c6f9f0ca8aa904.jpg,blouse,187_111_1,338_103_1,264_142_1,173_124_1,364_123_1,200_218_0,327_217_0,-1_-1_-1,-1_-1_-1,156_431_1,59_372_1,369_427_1,459_390_1,150_369_0,379_369_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/f957d9a180b18a82045131e93c878d35.jpg,blouse,186_60_1,226_61_1,205_101_1,106_110_1,307_118_1,124_196_0,284_211_0,-1_-1_-1,-1_-1_-1,107_487_1,87_482_1,296_483_1,318_493_1,116_427_1,292_424_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/f0026c9b89d0e415a66008fccd894e00.jpg,blouse,193_88_1,310_91_1,257_144_1,142_117_0,358_126_0,151_208_0,348_209_0,-1_-1_-1,-1_-1_-1,157_441_1,88_438_1,347_447_1,416_427_1,150_413_0,356_411_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/40c89e939b386c902f7957f2a0861169.jpg,blouse,205_152_1,303_150_1,248_194_1,163_179_1,344_174_1,170_254_0,336_254_0,-1_-1_-1,-1_-1_-1,149_490_1,121_464_1,361_492_1,390_467_1,184_422_1,327_420_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/2d91b90e6b8a5e760c66fdc1732f8a42.jpg,blouse,193_51_1,320_45_1,258_71_1,145_91_1,381_88_1,170_234_0,352_221_1,-1_-1_-1,-1_-1_-1,130_479_1,68_440_1,304_463_1,372_497_1,139_479_1,336_480_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/6526e3a4c36aee10541b36d527cc3feb.jpg,blouse,174_20_0,247_17_1,228_27_1,132_60_1,318_39_0,175_129_0,313_107_0,-1_-1_-1,-1_-1_-1,283_417_1,232_436_1,290_62_1,331_37_1,178_306_1,340_270_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/f5557c95253e01d126913ad83d459dce.jpg,blouse,183_26_1,319_32_1,251_143_1,132_50_1,381_73_1,140_157_1,342_191_1,-1_-1_-1,-1_-1_-1,143_351_1,122_353_1,340_351_1,357_367_1,160_343_1,324_337_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
